Date/Time,Word Count,ar,de,en,es,es-419,fr,it,ja,ko,pl,pt-BR,ru,tr,zh-Hans
2021.07.19-13.15.38,711,0,0,711,0,0,0,0,0,0,0,0,0,0,0
2021.07.21-08.46.07,711,0,0,711,0,0,0,0,0,0,0,0,0,0,17
2022.03.29-07.40.32,2663,0,0,2663,0,0,0,0,0,0,0,0,0,0,3
2022.07.07-16.56.56,2814,0,0,2814,0,0,0,0,0,0,0,0,0,0,3
2022.07.08-05.45.24,2823,0,0,2823,0,0,0,0,0,0,0,0,0,0,3
2022.08.20-05.41.22,2822,0,0,2822,0,0,0,0,0,0,0,0,0,0,3
2022.08.20-05.41.36,2822,0,0,2821,0,0,0,0,0,0,0,0,0,0,3
2022.08.20-16.39.17,2822,0,0,2822,0,0,0,0,0,0,0,0,0,0,3
2022.08.24-04.56.53,2822,2757,2757,2822,2757,2757,2757,2757,2757,2757,2757,2757,2757,2757,2757
2022.08.25-05.32.23,2745,2743,2743,2745,2743,2743,2743,2743,2743,2743,2743,2743,2743,2743,2743
2022.08.31-05.22.32,2755,2743,2743,2755,2743,2743,2743,2743,2743,2743,2743,2743,2743,2743,2743
2022.09.07-05.38.27,2785,2743,2743,2785,2743,2743,2743,2743,2743,2743,2743,2743,2743,2743,2743
2022.11.01-05.23.26,2788,2743,2743,2788,2743,2743,2743,2743,2743,2743,2743,2743,2743,2743,2743
2022.11.02-05.24.59,2829,2743,2743,2829,2743,2743,2743,2743,2743,2743,2743,2743,2743,2743,2743
2022.11.05-16.31.55,2799,2743,2743,2799,2743,2743,2743,2743,2743,2743,2743,2743,2743,2743,2743
